Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
39-D.Karim,HOU,RB,117,36,3.2%,0,0.0%,81,16.6%
57-T.Powell,BUF,LB,117,0,0.0%,15,1.3%,102,20.1%
14-M.Preston,TEN,WR,117,60,5.6%,0,0.0%,57,12.0%
96-S.Charles,BUF,DL,116,0,0.0%,83,7.2%,33,6.5%
60-S.Vallos,DEN,OL,116,9,0.7%,0,0.0%,107,19.9%
80-B.Stokley,BAL,WR,115,115,10.1%,0,0.0%,0,0.0%
97-L.Alexander,ARI,LB,115,0,0.0%,74,6.8%,41,8.7%
11-D.Sanzenbacher,CIN,WR,115,79,7.0%,0,0.0%,36,7.7%
30-C.Godfrey,CAR,DB,115,0,0.0%,112,11.1%,3,0.7%
63-L.Mady,OAK,OL,114,95,9.2%,0,0.0%,19,3.9%
53-K.Knox,JAC,LB,114,0,0.0%,0,0.0%,114,24.4%
88-J.Cooper,CLE,WR,114,100,9.0%,0,0.0%,14,2.9%
10-J.Scobee,JAC,ST,113,0,0.0%,0,0.0%,113,24.2%
26-S.Moore,DAL,DB,113,0,0.0%,81,7.1%,32,6.7%
16-B.Smith,PHI,WR,113,20,1.8%,0,0.0%,93,19.3%
53-O.Gaither,ATL,LB,112,0,0.0%,33,3.2%,79,17.3%
71-K.Biermann,ATL,LB,112,0,0.0%,99,9.5%,13,2.9%
7-J.Tuel,BUF,QB,111,111,9.6%,0,0.0%,0,0.0%
96-R.Talley,ARI,DL,111,0,0.0%,77,7.1%,34,7.2%
73-A.Gettis,WAS,OL,111,17,1.5%,0,0.0%,94,19.7%
67-B.Mosley,NYG,OL,110,59,5.8%,0,0.0%,51,10.9%
10-A.Collie,NE,WR,110,110,9.2%,0,0.0%,0,0.0%
39-D.Martin,CHI,DB,110,0,0.0%,5,0.5%,105,21.6%
8-B.Moorman,BUF,ST,110,0,0.0%,0,0.0%,110,21.7%
23-B.McCann,ARI,DB,110,0,0.0%,0,0.0%,110,23.4%
28-J.Stewart,CAR,RB,110,110,10.7%,0,0.0%,0,0.0%
22-E.Royster,WAS,RB,110,12,1.0%,0,0.0%,98,20.5%
91-R.Sapp,NYJ,LB,109,0,0.0%,19,1.7%,90,18.8%
25-D.Reynaud,TEN,RB,109,4,0.4%,0,0.0%,105,22.1%
54-M.Dowtin,BUF,LB,108,0,0.0%,17,1.5%,91,17.9%
98-C.Wilson,GB,DL,108,0,0.0%,107,10.2%,1,0.2%
65-G.Gilkey,CLE,OL,108,93,8.4%,0,0.0%,15,3.1%
69-J.Ross,BUF,DL,107,0,0.0%,48,4.2%,59,11.6%
18-S.Dawson,TB,WR,107,99,9.6%,0,0.0%,8,1.8%
21-J.Forsett,JAC,RB,106,99,9.4%,0,0.0%,7,1.5%
83-R.Lockette,SEA,WR,106,87,8.6%,0,0.0%,19,4.3%
31-C.Brown,PIT,DB,105,0,0.0%,1,0.1%,104,21.8%
2-K.Forbath,WAS,ST,105,0,0.0%,0,0.0%,105,22.0%
84-J.Baldwin,SF,WR,104,104,10.5%,0,0.0%,0,0.0%
86-K.Adams,TB,TE,104,53,5.1%,0,0.0%,51,11.2%
61-D.Reynolds,NYG,OL,103,101,9.8%,0,0.0%,2,0.4%
54-Q.Groves,CLE,LB,103,0,0.0%,53,4.6%,50,10.4%
23-L.James,SF,RB,103,28,2.8%,0,0.0%,75,16.3%
44-A.Bradshaw,IND,RB,102,102,9.5%,0,0.0%,0,0.0%
69-J.Trattou,NYG,DL,101,0,0.0%,3,0.3%,98,20.9%
89-C.Gragg,BUF,TE,101,51,4.4%,0,0.0%,50,9.8%
69-H.Gunn,ATL,OL,101,93,8.6%,0,0.0%,8,1.8%
54-N.Stupar,SF,LB,101,0,0.0%,7,0.7%,94,20.4%
40-K.Nelson,WAS,ST,101,0,0.0%,0,0.0%,101,21.2%
82-D.Dickerson,DET,TE,100,43,3.8%,0,0.0%,57,12.1%
69-M.Gibson,ARI,OL,100,0,0.0%,0,0.0%,100,21.2%
10-C.Daniel,KC,QB,100,100,9.3%,0,0.0%,0,0.0%
58-K.Glaud,TB,LB,100,0,0.0%,7,0.7%,93,20.4%
42-S.Johnson,OAK,DB,99,0,0.0%,24,2.2%,75,15.4%
36-D.Herron,IND,RB,99,11,1.0%,0,0.0%,88,19.0%
