"Team","players"
"ARI",60
"ATL",56
"BAL",65
"BUF",57
"CAR",65
"CHI",71
"CIN",58
"CLE",67
"DAL",57
"DEN",58
"DET",62
"GB",56
"HOU",61
"IND",62
"JAC",66
"KC",60
"LARM/STL",59
"MIA",66
"MIN",58
"NE",65
"NO",62
"NYG",69
"NYJ",63
"OAK",66
"PHI",56
"PIT",54
"SD",62
"SEA",66
"SF",63
"TB",69
"TEN",67
"WAS",69
