Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
27-M.Jenkins,PHI,DB,1350,0,0.0%,1153,99.6%,197,38.0%
26-R.Johnson,ARI,DB,1293,0,0.0%,1051,99.2%,242,54.5%
22-B.Skrine,CLE,DB,1277,0,0.0%,1129,97.0%,148,31.8%
32-E.Weddle,SD,DB,1248,0,0.0%,1021,97.4%,227,50.8%
33-M.Griffin,TEN,DB,1246,0,0.0%,1131,99.1%,115,24.6%
20-R.Nelson,CIN,DB,1243,0,0.0%,1097,97.7%,146,32.1%
52-P.Brown,BUF,LB,1214,0,0.0%,1020,93.8%,194,41.4%
73-J.Evans,NO,OL,1210,1140,100%,0,0.0%,70,15.8%
24-C.Woodson,OAK,DB,1207,0,0.0%,1102,98.7%,105,21.1%
66-B.Grubbs,NO,OL,1204,1134,99.5%,0,0.0%,70,15.8%
24-B.Fletcher,PHI,DB,1201,0,0.0%,1047,90.4%,154,29.7%
27-J.Wilcox,DAL,DB,1198,16,1.5%,970,94.4%,212,47.4%
77-J.Jerry,NYG,OL,1197,1126,99.8%,0,0.0%,71,15.0%
68-K.Beachum,PIT,OL,1192,1111,100%,0,0.0%,81,17.4%
25-T.McDonald,LARM/STL,DB,1191,0,0.0%,1047,99.6%,144,31.7%
66-D.DeCastro,PIT,OL,1190,1111,100%,0,0.0%,79,17.0%
64-J.Sweezy,SEA,OL,1189,1053,99.5%,0,0.0%,136,31.6%
56-M.Burris,OAK,LB,1185,0,0.0%,1063,95.2%,122,24.5%
26-C.Williams,PHI,DB,1183,0,0.0%,1149,99.2%,34,6.6%
75-D.Newton,HOU,OL,1183,1107,99.8%,0,0.0%,76,16.4%
30-J.McCourty,TEN,DB,1181,0,0.0%,1077,94.4%,104,22.2%
65-L.Vasquez,DEN,OL,1178,1120,99.3%,0,0.0%,58,11.8%
31-D.Whitner,CLE,DB,1176,1,0.1%,1153,99.1%,22,4.7%
76-D.Brown,HOU,OL,1175,1099,99.1%,0,0.0%,76,16.4%
74-A.Castonzo,IND,OL,1169,1155,100%,0,0.0%,14,2.9%
74-O.Franklin,DEN,OL,1169,1090,96.6%,0,0.0%,79,16.1%
22-H.Smith,MIN,DB,1168,0,0.0%,1070,98.9%,98,22.1%
66-M.Ramirez,DEN,OL,1168,1123,99.6%,0,0.0%,45,9.1%
55-P.Worrilow,ATL,LB,1165,0,0.0%,1079,99.6%,86,19.0%
