"Team","players"
"ARI",62
"ATL",56
"BAL",60
"BUF",63
"CAR",65
"CHI",60
"CIN",62
"CLE",60
"DAL",65
"DEN",57
"DET",66
"GB",61
"HOU",59
"IND",67
"JAC",73
"KC",63
"LARM/STL",58
"MIA",64
"MIN",52
"NE",66
"NO",58
"NYG",59
"NYJ",68
"OAK",62
"PHI",64
"PIT",59
"SD",65
"SEA",59
"SF",55
"TB",65
"TEN",62
"WAS",63
