"Team","players"
"ARI",69
"ATL",63
"BAL",64
"BUF",68
"CAR",67
"CHI",70
"CIN",57
"CLE",66
"DAL",59
"DEN",62
"DET",64
"GB",64
"HOU",62
"IND",68
"JAC",65
"KC",61
"LARM/STL",62
"MIA",64
"MIN",61
"NE",60
"NO",63
"NYG",61
"NYJ",72
"OAK",59
"PHI",59
"PIT",58
"SD",68
"SEA",66
"SF",68
"TB",64
"TEN",59
"WAS",63
