Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
62-R.Wendell,NE,OL,1379,1231,99.5%,0,0.0%,148,30.3%
77-N.Solder,NE,OL,1339,1234,99.8%,0,0.0%,105,21.5%
32-D.McCourty,NE,DB,1329,0,0.0%,1073,98.2%,256,52.5%
56-P.Riley,WAS,LB,1291,0,0.0%,1054,98.4%,237,50.5%
30-J.McCourty,TEN,DB,1282,0,0.0%,1125,99.6%,157,33.0%
94-S.Acho,ARI,LB,1277,0,0.0%,995,92.2%,282,58.4%
77-G.Cherilus,DET,OL,1274,1200,100%,0,0.0%,74,14.8%
66-S.Peterman,DET,OL,1274,1200,100%,0,0.0%,74,14.8%
30-C.Clemons,MIA,DB,1271,0,0.0%,1094,97.7%,177,39.6%
33-M.Griffin,TEN,DB,1270,0,0.0%,1114,98.7%,156,32.8%
32-E.Weddle,SD,DB,1269,0,0.0%,1036,97.7%,233,51.3%
43-C.Dahl,LARM/STL,DB,1269,0,0.0%,1035,96.3%,234,51.5%
67-R.Sims,DET,OL,1267,1200,100%,0,0.0%,67,13.4%
26-D.Landry,JAC,DB,1244,0,0.0%,1139,99.8%,105,22.4%
74-A.Castonzo,IND,OL,1239,1169,100%,0,0.0%,70,14.8%
75-M.McGlynn,IND,OL,1237,1167,99.8%,0,0.0%,70,14.8%
20-A.Verner,TEN,DB,1235,0,0.0%,1046,92.6%,189,39.7%
51-P.Posluszny,JAC,LB,1233,0,0.0%,1127,98.8%,106,22.6%
68-Z.Beadles,DEN,OL,1232,1145,100%,0,0.0%,87,18.4%
74-O.Franklin,DEN,OL,1222,1135,99.1%,0,0.0%,87,18.4%
58-J.Dunbar,LARM/STL,LB,1216,0,0.0%,1059,98.5%,157,34.6%
12-T.Brady,NE,QB,1213,1213,98.1%,0,0.0%,0,0.0%
21-P.Peterson,ARI,DB,1212,8,0.8%,1040,96.4%,164,34.0%
20-R.Jones,MIA,DB,1207,0,0.0%,1114,99.5%,93,20.8%
78-R.Clady,DEN,OL,1201,1115,97.4%,0,0.0%,86,18.2%
51-D.Raiola,DET,OL,1200,1200,100%,0,0.0%,0,0.0%
52-C.Greenway,MIN,LB,1198,0,0.0%,1123,99.2%,75,16.4%
52-D.Harris,NYJ,LB,1195,0,0.0%,1062,99.5%,133,28.7%
21-P.Robinson,NO,DB,1195,0,0.0%,1092,96.0%,103,20.6%
23-D.Hall,WAS,DB,1195,0,0.0%,1042,97.3%,153,32.6%
74-W.Smith,HOU,OL,1193,1114,98.8%,0,0.0%,79,15.8%
76-D.Brown,HOU,OL,1192,1109,98.3%,0,0.0%,83,16.6%
66-B.Grubbs,NO,OL,1191,1108,100%,0,0.0%,83,16.6%
52-D.Jackson,CLE,LB,1191,0,0.0%,1119,96.4%,72,15.5%
73-J.Evans,NO,OL,1189,1106,99.8%,0,0.0%,83,16.6%
74-M.Newhouse,GB,OL,1188,1102,100%,0,0.0%,86,18.3%
71-J.Sitton,GB,OL,1188,1102,100%,0,0.0%,86,18.3%
74-J.Bushrod,NO,OL,1186,1104,99.6%,0,0.0%,82,16.4%
9-M.Stafford,DET,QB,1181,1181,98.4%,0,0.0%,0,0.0%
69-E.Mathis,PHI,OL,1180,1123,99.6%,0,0.0%,57,12.5%
76-S.Vollmer,NE,OL,1179,1096,88.6%,0,0.0%,83,17.0%
27-Q.Mikell,LARM/STL,DB,1178,0,0.0%,1021,95.0%,157,34.6%
20-R.Barber,TB,DB,1177,4,0.4%,1071,99.4%,102,21.3%
75-M.Kalil,MIN,OL,1175,1035,100%,0,0.0%,140,30.7%
55-J.Laurinaitis,LARM/STL,LB,1173,0,0.0%,1075,100%,98,21.6%
50-R.Allen,JAC,LB,1172,0,0.0%,1000,87.6%,172,36.8%
29-G.Quin,HOU,DB,1171,0,0.0%,1027,96.5%,144,28.9%
22-H.Smith,MIN,DB,1169,0,0.0%,1037,91.6%,132,28.9%
12-A.Luck,IND,QB,1169,1169,100%,0,0.0%,0,0.0%
73-M.Bernadeau,DAL,OL,1169,1100,100%,0,0.0%,69,15.0%
56-K.Burnett,MIA,LB,1166,0,0.0%,1071,95.6%,95,21.3%
58-D.Washington,ARI,LB,1166,0,0.0%,1057,98.0%,109,22.6%
71-N.Livings,DAL,OL,1161,1093,99.4%,0,0.0%,68,14.8%
42-M.Burnett,GB,DB,1159,0,0.0%,1088,100%,71,15.1%
24-M.Barron,TB,DB,1159,0,0.0%,1074,99.6%,85,17.8%
50-C.Lofton,NO,LB,1158,0,0.0%,1121,98.6%,37,7.4%
28-T.DeCoud,ATL,DB,1158,0,0.0%,1020,99.7%,138,31.4%
81-C.Johnson,DET,WR,1154,1152,96.0%,0,0.0%,2,0.4%
54-L.David,TB,LB,1153,0,0.0%,1059,98.2%,94,19.7%
60-B.De La Puente,NO,OL,1148,1108,100%,0,0.0%,40,8.0%
82-J.Witten,DAL,TE,1147,1078,98.0%,0,0.0%,69,15.0%
38-D.Goldson,SF,DB,1147,0,0.0%,1026,96.9%,121,27.1%
31-J.Byrd,BUF,DB,1144,0,0.0%,1021,93.9%,123,26.6%
98-C.Barwin,HOU,LB,1143,0,0.0%,998,93.8%,145,29.1%
