Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
58-C.Kirksey,CLE,LB,1288,0,0.0%,1112,99.8%,176,39.6%
20-J.Ramsey,JAC,DB,1225,0,0.0%,1059,98.4%,166,34.1%
73-J.Evans,NO,OL,1222,1137,98.8%,0,0.0%,85,17.8%
23-R.Alford,ATL,DB,1221,0,0.0%,1080,97.2%,141,29.7%
31-B.Jones,DAL,DB,1212,0,0.0%,985,93.2%,227,51.5%
37-J.Cyprien,JAC,DB,1209,0,0.0%,1070,99.4%,139,28.5%
64-Z.Strief,NO,OL,1207,1124,97.7%,0,0.0%,83,17.4%
23-P.Chung,NE,DB,1206,0,0.0%,1005,96.3%,201,44.9%
74-A.Marpet,TB,OL,1204,1138,99.9%,0,0.0%,66,15.0%
25-T.McDonald,LARM/STL,DB,1204,0,#N/A,1069,#N/A,135,#N/A
52-P.Brown,BUF,LB,1203,0,0.0%,1068,99.4%,135,29.1%
21-L.Collins,NYG,DB,1202,0,0.0%,1105,99.5%,97,21.3%
20-C.Graham,BUF,DB,1198,0,0.0%,1055,98.2%,143,30.8%
21-P.Peterson,ARI,DB,1197,0,0.0%,1032,96.0%,165,34.5%
62-J.Thuney,NE,OL,1196,1115,99.6%,0,0.0%,81,18.1%
66-G.Jackson,OAK,OL,1193,1118,99.8%,0,0.0%,75,15.9%
63-M.Glowinski,SEA,OL,1186,1059,100.0,0,0.0%,127,28.9%
72-D.Penn,OAK,OL,1186,1111,99.2%,0,0.0%,75,15.9%
68-A.Norwell,CAR,OL,1182,1109,100.0,0,0.0%,73,15.2%
78-J.Parnell,JAC,OL,1180,1112,100.0,0,0.0%,68,14.0%
74-M.Remmers,CAR,OL,1180,1107,99.8%,0,0.0%,73,15.2%
76-D.Smith,TB,OL,1179,1138,99.9%,0,0.0%,41,9.3%
60-A.Cann,JAC,OL,1179,1112,100.0,0,0.0%,67,13.8%
70-T.Turner,CAR,OL,1171,1099,99.1%,0,0.0%,72,15.0%
43-G.Iloka,CIN,DB,1165,0,0.0%,1050,96.6%,115,26.0%
27-M.Jenkins,PHI,DB,1164,0,0.0%,1019,99.9%,145,33.0%
32-D.McCourty,NE,DB,1163,0,0.0%,1021,97.8%,142,31.7%
68-K.Zeitler,CIN,OL,1156,1086,99.9%,0,0.0%,70,15.8%
