"Team","players"
"ARI",58
"ATL",59
"BAL",60
"BUF",63
"CAR",61
"CHI",60
"CIN",60
"CLE",63
"DAL",68
"DEN",58
"DET",58
"GB",65
"HOU",68
"IND",73
"JAC",66
"KC",58
"LARM/STL",57
"MIA",61
"MIN",59
"NE",64
"NO",59
"NYG",63
"NYJ",62
"OAK",61
"PHI",55
"PIT",60
"SD",59
"SEA",62
"SF",59
"TB",63
"TEN",61
"WAS",60
