Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
27-M.Jenkins,PHI,DB,1359,0,0.0%,1211,99.8%,148,29.6%
35-E.Reid,SF,DB,1270,0,0.0%,1116,97.8%,154,34.4%
23-R.McLeod,LARM/STL,DB,1266,0,0.0%,1154,99.6%,112,24.1%
26-W.Thurmond,PHI,DB,1265,0,0.0%,1197,98.7%,68,13.6%
60-B.Jones,HOU,OL,1250,1186,99.9%,0,0.0%,64,13.5%
72-D.Newton,HOU,OL,1229,1166,98.2%,0,0.0%,63,13.3%
76-A.Barbre,PHI,OL,1227,1156,100.0,0,0.0%,71,14.2%
52-P.Brown,BUF,LB,1227,0,0.0%,1069,98.2%,158,34.1%
71-J.Sitton,GB,OL,1206,1140,99.3%,0,0.0%,66,14.6%
73-M.Yanda,BAL,OL,1204,1133,99.8%,0,0.0%,71,15.0%
65-C.Chester,ATL,OL,1200,1140,100.0,0,0.0%,60,14.6%
21-M.Butler,NE,DB,1199,0,0.0%,1082,98.8%,117,23.7%
20-R.Nelson,CIN,DB,1198,0,0.0%,1056,97.1%,142,32.0%
74-M.Remmers,CAR,OL,1198,1102,100.0,0,0.0%,96,20.2%
71-R.Wagner,BAL,OL,1198,1129,99.5%,0,0.0%,69,14.6%
38-A.Amos,CHI,DB,1196,0,0.0%,1029,99.7%,167,36.5%
73-R.Schraeder,ATL,OL,1196,1130,99.1%,0,0.0%,66,16.0%
70-J.Matthews,ATL,OL,1193,1127,98.9%,0,0.0%,66,16.0%
60-M.Unger,NO,OL,1191,1158,99.8%,0,0.0%,33,7.1%
60-D.Ferguson,NYJ,OL,1188,1111,100.0,0,0.0%,77,16.2%
77-J.Carpenter,NYJ,OL,1184,1107,99.6%,0,0.0%,77,16.2%
68-B.Giacomini,NYJ,OL,1184,1107,99.6%,0,0.0%,77,16.2%
54-L.David,TB,LB,1182,0,0.0%,1090,99.1%,92,20.6%
61-M.Paradis,DEN,OL,1182,1109,100.0,0,0.0%,73,15.6%
73-M.Oher,CAR,OL,1180,1084,98.4%,0,0.0%,96,20.2%
24-C.Sensabaugh,TEN,DB,1177,0,0.0%,1005,95.0%,172,38.4%
65-L.Johnson,PHI,OL,1171,1156,100.0,0,0.0%,15,3.0%
70-T.Turner,CAR,OL,1170,1074,97.5%,0,0.0%,96,20.2%
32-K.Vaccaro,NO,DB,1169,15,1.3%,1062,99.7%,92,19.7%
52-D.Jackson,IND,LB,1169,0,0.0%,1090,95.7%,79,16.3%
75-J.Mewhort,IND,OL,1168,1104,99.9%,0,0.0%,64,13.2%
67-A.Levitre,ATL,OL,1168,1127,98.9%,0,0.0%,41,10.0%
76-D.Smith,TB,OL,1167,1093,99.8%,0,0.0%,74,16.6%
72-M.Schwartz,CLE,OL,1164,1106,100.0,0,0.0%,58,13.3%
21-P.Peterson,ARI,DB,1163,0,0.0%,990,94.6%,173,37.2%
68-J.Veldheer,ARI,OL,1161,1071,97.1%,0,0.0%,90,19.4%
39-B.Carr,DAL,DB,1159,0,0.0%,1053,99.7%,106,24.2%
26-T.Brock,SF,DB,1158,0,0.0%,1066,93.4%,92,20.5%
21-L.Collins,NYG,DB,1158,0,0.0%,1093,94.4%,65,13.1%
17-P.Rivers,SD,QB,1157,1157,98.7%,0,0.0%,0,0.0%
55-J.Laurinaitis,LARM/STL,LB,1156,0,0.0%,1156,99.7%,0,0.0%
62-J.Kelce,PHI,OL,1156,1156,100.0,0,0.0%,0,0.0%
68-J.Britt,SEA,OL,1154,1079,99.9%,0,0.0%,75,16.8%
73-R.Foster,PIT,OL,1154,1075,100.0,0,0.0%,79,17.8%
66-D.DeCastro,PIT,OL,1154,1075,100.0,0,0.0%,79,17.8%
23-K.Fuller,CHI,DB,1153,0,0.0%,1022,99.0%,131,28.7%
10-D.Hopkins,HOU,WR,1152,1150,96.9%,0,0.0%,2,0.4%
75-K.Long,CHI,OL,1150,1082,99.9%,0,0.0%,68,14.9%
77-M.Gilbert,PIT,OL,1147,1070,99.5%,0,0.0%,77,17.3%
21-J.Jenkins,LARM/STL,DB,1146,0,0.0%,1039,89.6%,107,23.1%
53-M.Smith,OAK,LB,1144,0,0.0%,1141,99.1%,3,0.6%
64-R.Incognito,BUF,OL,1143,1075,100.0,0,0.0%,68,14.7%
24-J.Norman,CAR,DB,1142,0,0.0%,1061,96.5%,81,17.0%
75-B.Scherff,WAS,OL,1140,1069,99.8%,0,0.0%,71,15.6%
64-Z.Strief,NO,OL,1140,1075,92.7%,0,0.0%,65,13.9%
12-A.Rodgers,GB,QB,1138,1138,99.1%,0,0.0%,0,0.0%
71-R.Reiff,DET,OL,1138,1075,99.6%,0,0.0%,63,13.8%
21-H.Clinton-Dix,GB,DB,1137,0,0.0%,1048,99.7%,89,19.7%
20-C.Graham,BUF,DB,1136,0,0.0%,979,89.9%,157,33.9%
79-G.Gilliam,SEA,OL,1135,1059,98.1%,0,0.0%,76,17.0%
21-M.Gilchrist,NYJ,DB,1133,0,0.0%,1048,99.5%,85,17.9%
25-C.Harris,DEN,DB,1133,0,0.0%,1063,97.0%,70,15.0%
